key,value
data:947857590392586264,"{""st"":1,""cl"":""en"",""ls"":[""ar"",""en""],""fc"":[]}"
data:948970627090485248,"{""st"":1,""cl"":null,""ls"":[],""fc"":[""1007092956651589692"",""1007093130715217990"",""1007093534089814076"",""1007093639085817926"",""1007093265159438476""]}"
data:948972004323782746,"{""st"":1,""cl"":""en"",""ls"":[""en""],""fc"":[""1007094230327500910"",""1007093908041375784"",""1007094026660495430"",""1007094124744294462""]}"
data:949099352058638386,"{""st"":1,""cl"":""en"",""ls"":[""en""],""fc"":[""1007094494421848134"",""1007094509596835840"",""1007094538592079882"",""1007094523375145053""]}"
data:949997272886812715,"{""st"":1,""cl"":""en"",""ls"":[""th"",""my""],""fc"":[]}"
data:950516537209548850,"{""st"":1,""cl"":null,""ls"":[""es"",""en""],""fc"":[]}"
data:950674287562461246,"{""st"":1,""cl"":""ja"",""ls"":[""ms"",""ja""],""fc"":[]}"
data:951317636363464768,"{""st"":1,""cl"":""en"",""ls"":[""es"",""en""],""fc"":[]}"
data:951592822652412005,"{""st"":1,""cl"":null,""ls"":[""de""],""fc"":[""952596109308616704""]}"
data:951959014487511101,"{""st"":1,""cl"":""it"",""ls"":[],""fc"":[]}"
data:952182634597974016,"{""st"":1,""cl"":""en"",""ls"":[""ru""],""fc"":[]}"
data:952182685525245993,"{""st"":1,""cl"":""en"",""ls"":[""en""],""fc"":[]}"
data:952182738935509013,"{""st"":1,""cl"":""en"",""ls"":[""ar"",""bn"",""my"",""zh-CN"",""hi"",""zh-TW"",""en"",""fr"",""ko"",""lo"",""ms"",""ja"",""id"",""pt"",""ru""],""fc"":[]}"
data:952183112471805992,"{""st"":1,""cl"":""en"",""ls"":[""es"",""en""],""fc"":[]}"
data:952183196068507739,"{""st"":1,""cl"":""en"",""ls"":[""zh-TW""],""fc"":[]}"
data:952183413727719444,"{""st"":1,""cl"":""en"",""ls"":[""ja""],""fc"":[]}"
data:952183585501249636,"{""st"":1,""cl"":""en"",""ls"":[""id""],""fc"":[]}"
data:952553375835226112,"{""st"":1,""cl"":""en"",""ls"":[""en""],""fc"":[]}"
data:952556339429781626,"{""st"":1,""cl"":""en"",""ls"":[""ko"",""en""],""fc"":[]}"
data:952556614471286794,"{""st"":1,""cl"":""en"",""ls"":[""en""],""fc"":[]}"
data:952556761469050902,"{""st"":1,""cl"":""en"",""ls"":[],""fc"":[]}"
data:952557754860593162,"{""st"":1,""cl"":""en"",""ls"":[""en""],""fc"":[]}"
data:952596109308616704,"{""st"":1,""cl"":null,""ls"":[""de"",""en""],""fc"":[]}"
data:952893711602307132,"{""st"":1,""cl"":null,""ls"":[],""fc"":[""1001446343648231466"",""1001586469837746296""]}"
data:953834605658652673,"{""st"":1,""cl"":null,""ls"":[],""fc"":[]}"
data:954173345916674060,"{""st"":1,""cl"":null,""ls"":[""en"",""es""],""fc"":[]}"
